Pot ID,Rep,Ovary present,Stamen present,Anthers present,# of tepals,Size,Notes
MD.21.3,4,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MD.21.3,5,4a,0,0,5,3,"stamen structures obvious, but not fully developed; abnormal growth - almost as if another flower is growing"
MD.21.3,6,4a,0,0,4,3,"stamen structures obvious, but not fully developed; abnormal growth - almost as if another flower is growing in place of the missing tepal"
VA.19.4,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.19.4,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.19.4,3,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.19.4,4,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.17.2,1,4b ,1,0,5,4,
VA.17.2,2,4b ,1,1,5,4,
VA.17.2,3,4b ,1,1,5,4,
VA.17.2,4,4b ,1,1,5,4,
VA.17.2,5,4b ,1,1,5,4,
VA.18.4,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.18.4,2,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.18.4,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.18.4,4,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.18.4,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.17.3,1,4b ,1,1,5,4,
VA.17.3,2,4b ,1,1,5,4,
VA.17.3,3,4b ,1,1,5,4,
VA.17.3,4,4b,1,1,5,4,
VA.17.3,5,4b ,1,1,5,4,
VA.18.2,1,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.18.2,2,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.18.2,3,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.18.2,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.18.2,5,1,0,0,4,3,"stamen structures obvious, but not fully developed; one tepal broken and floating in ethanol"
MA.37.3,1,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.3,2,1,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.3,3,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.3,4,4a,0,0,5,3,"stamen structures obvious, but not fully developed"
MA.37.3,5,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.17.1,1,4b ,1,1,5,4,
VA.17.1,2,4b ,1,1,5,4,
VA.17.1,3,4b ,1,1,5,4,
VA.17.1,4,4b ,1,1,5,4,
VA.17.1,5,4b ,1,1,5,4,
VA.22.5,1,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.22.5,2,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.22.5,3,1,0,0,5,< 3,"stamen structures obvious, but not fully developed"
VA.22.5,4,1,0,0,5,3,"stamen structures obvious, but not fully developed"
VA.22.5,5,4a,0,0,5,< 3,"stamen structures obvious, but not fully developed"
PA.27.2,1,4b ,1,1,5,> 3,
PA.27.2,2,4b ,1,1,5,> 3,
PA.27.2,3,4b ,1,1,5,> 3,
PA.27.2,4,4b ,1,1,5,> 3,
PA.27.2,5,4b ,1,1,5,> 3,
VA.17.4,1,4b,1,1,5,> 3,
VA.17.4,2,4b ,1,1,5,> 3,
VA.17.4,3,4b ,1,1,5,> 3,
